Date : 2023-12-29 18:45:13
Directory : /Users/yufei/Documents/ETH 2024spring/12306
Total : 486 files,  135494 codes, 13442 comments, 4613 blanks, all 153549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| SQL                |          8 |    118,246 |          0 |        319 |    118,565 |
| Java               |        410 |     13,471 |     13,184 |      3,790 |     30,445 |
| XML                |         31 |      1,570 |        144 |        248 |      1,962 |
| YAML               |         16 |      1,110 |         34 |         58 |      1,202 |
| JavaScript         |          9 |        675 |         15 |         51 |        741 |
| Markdown           |          2 |        128 |          0 |         83 |        211 |
| Batch              |          1 |        118 |         51 |         37 |        206 |
| Lua                |          4 |         89 |          1 |         22 |        112 |
| JSON               |          1 |         32 |          0 |          1 |         33 |
| Less               |          1 |         29 |          0 |          2 |         31 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| JSON with Comments |          1 |          8 |         12 |          0 |         20 |
| Java Properties    |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                    |        486 |    135,494 |     13,442 |      4,613 |    153,549 |
| . (Files)                                                                                                                                                                                                            |          3 |        368 |         58 |        128 |        554 |
| .mvn                                                                                                                                                                                                                 |          1 |          2 |          0 |          1 |          3 |
| .mvn/wrapper                                                                                                                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| .workflow                                                                                                                                                                                                            |          3 |        113 |         31 |          3 |        147 |
| checkstyle                                                                                                                                                                                                           |          2 |        113 |         32 |          3 |        148 |
| console-vue                                                                                                                                                                                                          |         14 |        775 |         28 |         60 |        863 |
| console-vue (Files)                                                                                                                                                                                                  |          5 |         82 |         12 |          8 |        102 |
| console-vue/public                                                                                                                                                                                                   |          1 |         16 |          1 |          1 |         18 |
| console-vue/src                                                                                                                                                                                                      |          8 |        677 |         15 |         51 |        743 |
| console-vue/src (Files)                                                                                                                                                                                              |          2 |         40 |          0 |          4 |         44 |
| console-vue/src/constants                                                                                                                                                                                            |          1 |        216 |          0 |          9 |        225 |
| console-vue/src/mock                                                                                                                                                                                                 |          1 |          8 |          1 |          1 |         10 |
| console-vue/src/router                                                                                                                                                                                               |          1 |        146 |          6 |          5 |        157 |
| console-vue/src/service                                                                                                                                                                                              |          2 |        226 |          8 |         29 |        263 |
| console-vue/src/utils                                                                                                                                                                                                |          1 |         41 |          0 |          3 |         44 |
| dependencies                                                                                                                                                                                                         |          1 |        130 |          0 |         21 |        151 |
| format                                                                                                                                                                                                               |          1 |         32 |         19 |          2 |         53 |
| frameworks                                                                                                                                                                                                           |        122 |      3,338 |      3,327 |      1,061 |      7,726 |
| frameworks (Files)                                                                                                                                                                                                   |          1 |         25 |          0 |          3 |         28 |
| frameworks/base                                                                                                                                                                                                      |          9 |        144 |        226 |         62 |        432 |
| frameworks/base (Files)                                                                                                                                                                                              |          1 |         17 |          0 |          3 |         20 |
| frameworks/base/src                                                                                                                                                                                                  |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main                                                                                                                                                                                             |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java                                                                                                                                                                                        |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org                                                                                                                                                                                    |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy                                                                                                                                                                          |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy/index12306                                                                                                                                                               |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework                                                                                                                                                     |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                             |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases                                                                                                                                       |          8 |        127 |        226 |         59 |        412 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases (Files)                                                                                                                               |          2 |         57 |         74 |         23 |        154 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/config                                                                                                                                |          1 |         26 |         21 |          7 |         54 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/constant                                                                                                                              |          2 |         11 |         57 |         11 |         79 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/init                                                                                                                                  |          2 |         25 |         53 |         13 |         91 |
| frameworks/base/src/main/java/org/opengoofy/index12306/framework/starter/bases/safa                                                                                                                                  |          1 |          8 |         21 |          5 |         34 |
| frameworks/bizs                                                                                                                                                                                                      |          7 |        221 |        167 |         52 |        440 |
| frameworks/bizs (Files)                                                                                                                                                                                              |          1 |         15 |          0 |          2 |         17 |
| frameworks/bizs/user                                                                                                                                                                                                 |          6 |        206 |        167 |         50 |        423 |
| frameworks/bizs/user (Files)                                                                                                                                                                                         |          1 |         55 |          2 |         10 |         67 |
| frameworks/bizs/user/src                                                                                                                                                                                             |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main                                                                                                                                                                                        |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java                                                                                                                                                                                   |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org                                                                                                                                                                               |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy                                                                                                                                                                     |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306                                                                                                                                                          |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks                                                                                                                                               |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter                                                                                                                                       |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user                                                                                                                                  |          5 |        151 |        165 |         40 |        356 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/config                                                                                                                           |          1 |         13 |         29 |          5 |         47 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/core                                                                                                                             |          3 |         85 |        103 |         27 |        215 |
| frameworks/bizs/user/src/main/java/org/opengoofy/index12306/frameworks/starter/user/toolkit                                                                                                                          |          1 |         53 |         33 |          8 |         94 |
| frameworks/cache                                                                                                                                                                                                     |         15 |        401 |        425 |        140 |        966 |
| frameworks/cache (Files)                                                                                                                                                                                             |          1 |         48 |          0 |         10 |         58 |
| frameworks/cache/src                                                                                                                                                                                                 |         14 |        353 |        425 |        130 |        908 |
| frameworks/cache/src/main                                                                                                                                                                                            |         14 |        353 |        425 |        130 |        908 |
| frameworks/cache/src/main/java                                                                                                                                                                                       |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org                                                                                                                                                                                   |         13 |        343 |        424 |        128 |        895 |
